Location,Job_Description,Sector,Eligibility,salary,Month,vacancies
MUMBAI,SENIOR IOS DEVELOPER ALEXANDRIA ,IT/Software Development, Graduation  PG   Doctorate Doctorate ,50000,2,1
BENGALURU,ENGLISH TRANSLATOR,Editorial/Writing,BTech BE  ME MTech,20000,4,1
BENGALURU,MARKETING MANAGER,Pharmaceutical,BTech BE  ME MTech,60000,0,1
BENGALURU,WEB DEVELOPER (ASP.NET - VB),IT/Software Development,BTech BE  ME MTech,70000,10,1
BENGALURU,PHP FULL STACK DEVELOPER,IT/Software Development, BTech BE PG  ,30000,7,1
HYDERABAD,DIGITAL MARKETING SPECIALIST / ONLINE ADVERTISER,Education/Training,MA  MCom  MPhil PhD,40000,0,1
BENGALURU,SOFTWARE QUALITY CONTROL ENGINEER,IT/Software Development,BTech BE  ME MTech,60000,10,2
BENGALURU,OPERATIONS MANAGER,Manufacturing/Production/Operations,BTech BE MSc ,200000,11,1
BENGALURU,SENIOR SOFTWARE ENGINEER,IT/Software Development,BTech BE  ME MTech,70000,7,1
BENGALURU,CUSTOMER SERVICE AND ACCOUNTANT ,Customer Service/Support,BTech BE  ME MTech,15000,5,2
BENGALURU,SALES ACCOUNT MANAGER - IT,IT/Software Development,BTech BE  BVSC  MA  MCom  MSc  MBA PGDM,80000,4,15
HYDERABAD,MARKETING SPECIALIST ,Marketing,BTech BE  ME MTech,40000,10,3
BENGALURU,LEAD SOFTWARE ENGINEER ,IT/Software Development,BTech BE  ME MTech,100000,8,1
BENGALURU,MOTOR CLAIMS ASSESSOR - MECHANICAL ENGINEERING,Engineering,BTech BE  ME MTech,40000,7,1
HYDERABAD,CUSTOMER SERVICE EXECUTIVE - MULTINATIONAL BANK,Customer Service/Support,MPhil PhD,30000,2,40
BENGALURU,SENIOR SOCIAL MEDIA SPECIALIST,Marketing, BCom ,35000,9,1
HYDERABAD,TEST LEAD - SOFTWARE TESTING,Quality Assurance/Quality Control,BTech BE  ME MTech,120000,4,1
HYDERABAD,TECHNICAL LEAD,IT/Software Development,BDS,120000,3,1
BENGALURU,E-MARKETING SPECIALIST,Marketing, BCom ,30000,6,1
BENGALURU,E-MARKETING SPECIALIST,Marketing,BTech BE  ME MTech,30000,4,1
HYDERABAD,SENIOR GRAPHIC DESIGNER ,Creative/Design,BTech BE ,45000,0,2
BENGALURU,E-MARKETING SPECIALIST,Marketing,BTech BE  ME MTech,30000,1,1
UPPER EGYPT,SALES REPRESENTATIVE - LUXOR,Sales/Retail/Business Development,BTech BE  ME MTech,70000,1,1
BENGALURU,SENIOR PHP SOFTWARE DEVELOPER - CODEIGNITER,IT/Software Development,BTech BE  ME MTech,50000,0,1
BENGALURU,SALES REPRESENTATIVE,Sales/Retail/Business Development, BTech BE PG MTech,25000,10,4
BENGALURU,JUNIOR AX DYNAMICS DEVELOPER,IT/Software Development,BTech BE  ME MTech,36000,8,1
PUNE,QUALITY ASSURANCE SPECIALIST,Quality Assurance/Quality Control,BCA Diploma MCA ,30000,4,1
BENGALURU,JUNIOR SALES ACCOUNT MANAGER,Sales/Retail/Business Development,BTech BE  ME MTech,25000,7,4
BENGALURU,WEB DEVELOPER,IT/Software Development, BTech BE ,40000,12,2
MUMBAI,3D INTERIOR & FURNITURE DESIGNER - ALEXANDRIA,Creative/Design,BTech BE  ME MTech,25000,12,1
BENGALURU,OPERATIONS SUPERVISOR - TRAINING SERVICES,Administration,BTech BE  ME MTech,25000,9,1
BENGALURU,TECHNICAL HVAC ENGINEER,Engineering,BTech BE  ME MTech,40000,5,1
BENGALURU,SENIOR PHP DEVELOPER ,IT/Software Development,BTech BE MSc ME MTech ,50000,7,2
BENGALURU,SENIOR SALES EXECUTIVE ,Marketing,BCA BTech BE ,70000,0,2
BENGALURU,ACCOUNT MANAGER - DIGITAL AGENCY,Sales/Retail/Business Development,BTech BE  ME MTech,100000,10,1
BENGALURU,TELESALES,Sales/Retail/Business Development, BTech BE ,44000,10,40
BENGALURU,SOCIAL MEDIA EXECUTIVE,Media/Journalism/Publishing, BSc ,50000,6,1
BENGALURU,DEVELOPER AND IMPLEMENTER,IT/Software Development,BTech BE  ME MTech,35000,1,1
BENGALURU,OPERATIONS AND DEVELOPMENT MANAGER,Marketing,BTech BE  ME MTech,100,0,1
SUEZ,PRODUCT ENGINEER - MANUFACTURING ,Manufacturing/Production/Operations,MBBS,30000,11,2
BENGALURU,TECHNICAL OFFICE ENGINEER ,Engineering, BTech BE PG MTech,20000,7,1
BENGALURU,TEAM LEAD ENGINEER,Engineering,BTech BE  ME MTech,30000,9,1
BENGALURU,DIGITAL MARKETING EXECUTIVE,Marketing,BTech BE  ME MTech,30000,0,1
BENGALURU,ART DIRECTOR,Creative/Design,MCom  MBA PGDM,80000,7,1
BENGALURU,SALES,Human Resources,MBBS  PG Diploma  MS MD,0,2,4
MUMBAI,MECHANICAL ENGINEER,Engineering,BSc ,30000,6,1
BENGALURU,FIELD SERVICE REPRESENTATIVE,Customer Service/Support, BTech BE PG MTech,35000,9,2
BENGALURU,QUALITY MANAGER,Quality Assurance/Quality Control,BTech BE  ME MTech,50000,2,1
BENGALURU,MARKETING SPECIALIST,Marketing,MPhil PhD,60000,5,1
BENGALURU,ARCHITECTURE ENGINEER,Engineering,BTech BE  ME MTech,50000,4,1
MUMBAI,FRONT-END DEVELOPER,IT/Software Development, BTech BE ,25000,5,1
BENGALURU,WEB DESIGNER,Creative/Design,BTech BE  ME MTech,25000,4,2
BENGALURU,TECHNICAL OFFICE ENGINEER - CIVIL ENGINEERING ,Engineering, BTech BE ,60000,1,1
BENGALURU,TECHNICAL OFFICE ENGINEER,Engineering, Graduation  PG   Doctorate Doctorate ,20000,9,2
HYDERABAD,E-MARKETING SPECIALIST,Marketing,BSc Diploma ,30000,9,1
BENGALURU,SENIOR SOFTWARE ENGINEER Â€“ TIBCO ,IT/Software Development,BTech BE  ME MTech,150000,3,1
BENGALURU,SHAREPOINT ADMINISTRATOR,IT/Software Development,BTech BE  ME MTech,20000,3,8
MUMBAI,PHONEGAP DEVELOPER,IT/Software Development,BTech BE  ME MTech,25000,1,1
HYDERABAD,SENIOR PHP DEVELOPER,IT/Software Development, BTech BE ,80000,12,3
HYDERABAD,IOS DEVELOPER,IT/Software Development,BTech BE  ME MTech,80000,8,3
HYDERABAD,SENIOR ANDROID DEVELOPER,IT/Software Development,MBBS  Diploma  DNB  MS MD,70000,2,1
MUMBAI,USER EXPERIENCE ENGINEER,IT/Software Development, BSc PG MS MSc(Science),30000,3,1
MENOUFIA,R&D ANALYST - MENOUFIA ,Pharmaceutical, BTech BE ,25000,1,1
MENOUFIA,VALIDATION SPECIALIST - MENOUFIA ,Pharmaceutical,10TH ,25000,12,1
MUMBAI,CUSTOMER SERVICE REPRESENTATIVE,Customer Service/Support,MBBS,15000,2,1
HYDERABAD,MARKETING & SALES SPECIALIST ,Marketing,12TH,50000,5,1
BENGALURU,OPERATIONS AND DEVELOPMENT MANAGER,Sales/Retail/Business Development, Graduation  PG   Doctorate Doctorate ,100000,1,1
BENGALURU,MARKETING MANAGER,Marketing,BTech BE  ME MTech,110000,7,1
BENGALURU,MARKETING & BUSINESS DEVELOPMENT SPECIALIST  ,Marketing, BBA   BMS PG MBA PGDM,50000,4,1
BENGALURU,TELESALES AGENT - INDOOR,Sales/Retail/Business Development,BCA BPharma BSc BTech BE Diploma MSc DMLT ,30000,11,1
BENGALURU,TICKETING AGENT,Tourism/Travel,BTech BE  ME MTech,15000,4,1
BENGALURU,CUSTOMER SERVICE AGENT  - FITNESS CENTER,Sales/Retail/Business Development,BTech BE  ME MTech,40000,9,5
BENGALURU,GRAPHIC DESIGNER,Creative/Design, BTech BE ,50000,6,2
BENGALURU,TELESALES AGENT,Customer Service/Support,BTech BE  ME MTech,12000,2,2
MUMBAI,MOBILE SOFTWARE DEVELOPER - ALEXANDRIA,IT/Software Development,BTech BE Diploma ,60000,8,1
BENGALURU,LIBRARIAN,Customer Service/Support,MSc  MPhil PhD,30000,8,1
MUMBAI,WEB DEVELOPER,IT/Software Development,BTech BE  ME MTech,30000,6,1
EGYPT,SALES REPRESENTATIVE,Sales/Retail/Business Development,BTech BE  ME MTech,30000,2,5
BENGALURU,ARCHITECT / PROPERTY CONSULTANT,Engineering,BTech BE  ME MTech,20000,1,4
BENGALURU,SOFTWARE DEVELOPMENT TEAM LEADER ,IT/Software Development, BTech BE PG  ,70000,10,1
BENGALURU,MARKET RESEARCH ACCOUNT MANAGER,Marketing,BTech BE  ME MTech,90000,10,1
BENGALURU,CUSTOMER SERVICE AGENT,Customer Service/Support,BCom  CA  ICWA,15000,4,1
BENGALURU,SALES ACCOUNT EXECUTIVE - ADVERTISING ,Sales/Retail/Business Development,BTech BE  ME MTech,25000,6,1
BENGALURU,MARKETING SPECIALIST,Marketing,BTech BE  ME MTech,20000,3,1
HYDERABAD,MEDIUM VOLTAGE DESIGN ENGINEER,Engineering,BTech BE  ME MTech,40000,3,1
MUMBAI,SOFTWARE QUALITY ASSURANCE ENGINEER,IT/Software Development,BSc PG Diploma DMLT ,30000,2,1
BENGALURU,PRESALES ENGINEER,Engineering,BTech BE  ME MTech,17500,3,3
HYDERABAD,SENIOR JAVA DEVELOPER,IT/Software Development, BTech BE ,100000,6,3
BENGALURU,PROJECT MANAGER - INDUSTRIAL DESIGN,Project/Program Management,MPhil PhD,70000,7,1
MUMBAI,PHPFOX DEVELOPER,IT/Software Development,BTech BE  ME MTech,30000,9,1
HYDERABAD,BIOMEDICAL SALES ENGINEER,Medical,BA  BBA  BTech BE  Diploma  ITI  MBA PGDM  PG Diploma  MSW,30000,2,2
BENGALURU,CLIENT MANAGEMENT SPECIALIST,Sales/Retail/Business Development,BTech BE,40000,0,1
BENGALURU,OFFICE MANAGER,Administration,MPhil PhD,20000,0,2
BENGALURU,PROJECTS DIRECTOR (PMO) ,IT/Software Development,BTech BE  ME MTech,170000,3,1
PORT SAID,MAINTENANCE PLANNING MANAGER- PORT SAID ,Engineering,BTech BE  ME MTech,250000,1,1
BENGALURU, ELECTRICAL/ MECHANICAL ENGINEER,Engineering,BSc GNM MSc ,30000,2,2
BENGALURU,MAINTENANCE ENGINEER - ELEVATORS,Engineering,BTech BE  ME MTech,60000,4,2
BENGALURU,SITE ENGINEER ,Engineering,BTech BE  ME MTech,30000,3,2
BENGALURU,INSTALLATION ENGINEER ,Engineering, BTech BE ,60000,4,2
HYDERABAD,CALL CENTER AGENT -INTERNATIONAL BANK  ,Customer Service/Support,BTech BE  ME MTech,27000,5,80
BENGALURU,FRONT DESK/WELLNESS CENTER RECEPTIONIST,Customer Service/Support,MPhil PhD,20000,6,1
BENGALURU,TECHNICAL SUPPORT ,Installation/Maintenance/Repair,BTech BE  ME MTech,30000,7,2
MUMBAI,GRAPHIC DESIGNER - ALEXANDRIA,Creative/Design,MA  MSc  ME MTech  MPhil PhD,15000,8,1
MUMBAI,SOCIAL MEDIA SPECIALIST ,Marketing,BTech BE  ME MTech,15000,7,1
BENGALURU,TECHNICAL SUPPORT ENGINEER FOR MATERIALS TESTING EQUIPMENT,Installation/Maintenance/Repair,BTech BE  ME MTech,25000,11,2
BENGALURU,TECHNICAL SUPPORT AGENT - ETISALAT ,Customer Service/Support,MA,30000,4,40
MUMBAI,DEVELOPER TEAM LEAD (MOBILE & WEB )- ALEXANDRIA ,IT/Software Development,12TH,95000,9,1
SUEZ,DESIGNER ( SILO MACHINERY ) - SUEZ,Creative/Design,BTech BE  ME MTech,150000,12,1
BENGALURU,SERVICE ADVISOR,Engineering,BSc  GNM,22000,6,2
ZAHRAA EL MAADI,PARTS MANAGER,Engineering,BTech BE MSc ME MTech ,60000,1,1
HYDERABAD,USHER- ADVERTISING ,Sales/Retail/Business Development, BTech BE PG MTech,20000,11,15
BENGALURU,CUSTOMER SERVICE ADMINISTRATORS - CAIRO,Administration,BTech BE  ME MTech,16000,2,8
HYDERABAD,CUSTOMER SERVICE ADMINISTRATOR -  GIZA,Administration, BTech BE ,16000,12,8
BENGALURU,PHP DEVELOPER - SYMPHONY & LARAVEL ,IT/Software Development,BTech BE  ME MTech,40000,9,1
BENGALURU,CIVIL ENGINEER - ROAD DESIGN  (KSA),Engineering,BTech BE  ME MTech,120000,2,15
BENGALURU,SENIOR PHP DEVELOPER,IT/Software Development,BTech BE  ME MTech,90000,1,2
BENGALURU,MARKETING AND SALES REPRESENTATIVE ,Sales/Retail/Business Development,BTech BE ,20000,3,1
BENGALURU, INDOOR SALES REPRESENTATIVE - ELECTRONICS ,Sales/Retail/Business Development, Diploma ,20000,12,100
BENGALURU,CIVIL ENGINEER,Engineering, BTech BE PG MTech,30000,0,2
PUNE,MARKETING AND SALES DIRECTOR - POWER ENGINEERING,Engineering,BTech BE  ME MTech,200000,6,1
PUNE,R&D ELECTRICAL POWER ENGINEER,Engineering,BTech BE  ME MTech,60000,11,1
BENGALURU,CUSTOMER SERVICE AGENT ,Customer Service/Support, BCom ,23000,11,100
BENGALURU,TELESALES AGENT - INDOOR ,Sales/Retail/Business Development,MLib,30000,3,1
BENGALURU,IT SPECIALIST,IT/Software Development,PG MBA PGDM ,30000,12,1
BENGALURU,MARKETING ACCOUNT MANAGER,Marketing,BTech BE  ME MTech,60000,11,2
BENGALURU,QUALITY MANAGER,Quality Assurance/Quality Control, BTech BE ,60000,11,1
HYDERABAD,CALL CENTER REPRESENTATIVE - FOREIGN BANK,Customer Service/Support, BTech BE ,27000,10,80
HYDERABAD,MECHANICAL ENGINEER - PRODUCTION DEPARTMENT ,Engineering,BTech BE  ME MTech,25000,3,2
BENGALURU,ELECTRONICS MAINTENANCE ENGINEER,Engineering,Diploma  ITI  10TH,50000,5,4
PUNE,MAINTENANCE ENGINEERING SUPERVISOR,Engineering,BSc  Diploma,120000,9,1
BENGALURU,SOFTWARE DEVELOPMENT TEAM LEADER,IT/Software Development,10TH ,120000,9,1
BENGALURU,SALES EXECUTIVE ,Sales/Retail/Business Development,BTech BE  ME MTech,38000,0,1
BENGALURU,SENIOR SOFTWARE ENGINEER,IT/Software Development,BTech BE  ME MTech,50000,7,1
PUNE,MECHANICAL PROJECT ENGINEER,Engineering,BTech BE  ME MTech,45000,11,1
BENGALURU,NETWORK PASSIVE ENGINEER,IT/Software Development,BTech BE  ME MTech,40000,8,1
BENGALURU,IT SPECIALIST,IT/Software Development,BTech BE  ME MTech,18000,5,1
BENGALURU,IT SALES SPECIALIST,IT/Software Development, BTech BE PG  ,40000,10,3
BENGALURU,JUNIOR SALES SPECIALIST - IT SERVICES,IT/Software Development, LLB ,40000,2,3
BENGALURU,ORACLE DBA CONSULTANT ,IT/Software Development,BSc Diploma 12TH ,120000,6,1
BENGALURU,CHIEF ENGINEER,Engineering,BTech BE MArch ,200000,10,1
BENGALURU,ORACLE DBA CONSULTANT ,IT/Software Development,Diploma  12TH,120000,4,1
BENGALURU,ORACLE DBA CONSULTANT ,IT/Software Development,10TH ,120000,5,1
BENGALURU,SALES ENGINEER - BIOMEDICAL,Sales/Retail/Business Development, BTech BE ,35000,12,8
BENGALURU,REAL ESTATE CONSULTANT ,Sales/Retail/Business Development,BTech BE  ME MTech,200000,5,5
HYDERABAD,SOCIAL MEDIA SPECIALIST,Marketing,BTech BE  ME MTech,25000,7,1
BENGALURU,SENIOR SALES SPECIALIST - IT SERVICES,IT/Software Development,BTech BE  ME MTech,100000,9,3
BENGALURU,SENIOR MARKETING SPECIALIST,Marketing,BTech BE  MCA,50000,12,1
HYDERABAD,SOCIAL MEDIA EXECUTIVE,Marketing,BTech BE  ME MTech,35000,3,2
MUMBAI,JUNIOR DIGITAL MARKETING ACCOUNT MANAGER- ALEXANDRIA,Marketing, BSc ,20000,8,2
BENGALURU,CIVIL ENGINEER - SEWEGE (KSA),Engineering,Diploma  12TH,250000,5,5
HYDERABAD,HARDWARE MAINTENANCE ENGINEER,Installation/Maintenance/Repair,BTech BE  ME MTech,30000,10,1
HYDERABAD,JAVA DEVELOPER,IT/Software Development,MSc,70000,3,2
BENGALURU,ACCOUNT MANAGER,Customer Service/Support,10TH ,15000,6,1
BENGALURU,SYSTEM ENGINEER,Engineering,BTech BE  ME MTech,30000,11,1
BENGALURU,SYTSEM ENGINEER,Engineering,MPhil PhD,30000,2,1
BENGALURU,CANDY/ PASTRY CHEF ,Food Services/Hospitality,BTech BE  ME MTech,30000,11,3
BENGALURU,SENIOR .NET DEVELOPER,IT/Software Development,BTech BE  ME MTech,80000,4,2
BENGALURU,CALL CENTER AGENT,Customer Service/Support,BTech BE  ME MTech,18000,0,80
BENGALURU,ASP.NET DEVELOPER,IT/Software Development,BSc,30000,11,1
BENGALURU,QUALITY ENGINEER,Quality Assurance/Quality Control,BTech BE  ME MTech,30000,7,1
BENGALURU,CASHIER/ SALES AGENT ,Food Services/Hospitality,BTech BE  ME MTech,15000,9,2
PUNE,ORACLE FINANCIAL TECHNO-FUNCTIONAL CONSULTANT,IT/Software Development,BTech BE  ME MTech,120000,10,1
PUNE,ORACLE SCM TECHNO-FUNCTIONAL CONSULTANT,IT/Software Development,BSc  Diploma  MSc,120000,8,1
PUNE,SALES ENGINEER - CIVIL PROJECT,Engineering,BTech BE  ME MTech,20000,10,4
BENGALURU,SYSTEM ADMINISTRATOR,IT/Software Development,BTech BE  ME MTech,30000,5,1
BENGALURU,SYSTEM & INFRA STRUCTURE ENGINEER,IT/Software Development,BTech BE  ME MTech,20000,2,5
BENGALURU,ERP CONSULTANT,IT/Software Development, BTech BE ,30000,5,3
BENGALURU,DATABASE ADMINISTRATOR ,IT/Software Development,BTech BE  ME MTech,30000,0,1
BENGALURU,IT APPLICATION SUPPORT ENGINEER,IT/Software Development,MBBS,30000,7,2
TRAVEL JEDDAH,SALES & MARKETING MANAGER ,Sales/Retail/Business Development, MBBS ,120000,6,1
BENGALURU,AGRICULTURE CROP FARM MANAGER,Engineering,BTech BE  ME MTech,80000,4,1
BENGALURU,HVAC DESIGN MECHANICAL ENGINEER,Engineering,BTech BE  ME MTech,30000,8,2
BENGALURU,SALES ACCOUNT MANAGER,Sales/Retail/Business Development,BTech BE  ME MTech,15000,6,1
HYDERABAD,MECHANICAL ENGINEER,Engineering,BTech BE  ME MTech,50000,3,8
BENGALURU,MOTOR CLAIMS SURVEYOR,Business ,BTech BE  MCA,70000,10,2
BENGALURU,LIFESTYLE MANAGER,Customer Service/Support,LLB,30000,4,2
BENGALURU,TECHNICAL SUPPORT EXECUTIVE,Installation/Maintenance/Repair, BTech BE ,23000,11,1
HYDERABAD,ELECTRICAL ENGINEER,Engineering,BTech BE  ME MTech,50000,0,1
HYDERABAD,CHEMICAL  ENGINEER,Engineering,BTech BE  ME MTech,50000,0,5
HYDERABAD,EXECUTIVE SECRETARY 6 OCTOBER,Administration,BTech BE  ME MTech,25000,7,1
BENGALURU,COST CONTROL ENGINEER,Engineering,BTech BE  ME MTech,100000,1,1
BENGALURU,CUSTOMER SERVICE REPRESENTATIVE - TRAINING CENTER,Customer Service/Support,BTech BE  ME MTech,15000,6,2
BENGALURU,WEB DEVELOPER,Creative/Design,BTech BE  ME MTech,30000,12,1
BENGALURU,FINISHING ENGINEER,Engineering,PG CA,120000,4,2
HYDERABAD,PROCESS CONTROL ENGINEER,Engineering,BSc,50000,6,1
HYDERABAD,INK ENGINEER- CHEMICAL ENGINEER ,Engineering, MBBS ,50000,2,1
HYDERABAD,UTILITY ENGINEER,Engineering,BTech BE  ME MTech,50000,5,2
BENGALURU,CUSTOMER SERVICE REPRESENTATIVE,Customer Service/Support, BHM ,24000,4,100
PUNE,ORACLE EBS DEVELOPER  ,IT/Software Development, BBA   BMS PG MBA PGDM,80000,11,1
BENGALURU,BIDS AND TENDERS ENGINEER,Engineering,MBBS  MSc  MPhil PhD  MS MD  MCh,150000,11,1
HYDERABAD,ELECTRICAL ENGINEER ,Engineering,BTech BE,30000,7,3
BENGALURU,DEBT COLLECTOR,Banking, Graduation  PG   Doctorate Doctorate ,40000,8,3
BENGALURU,SOFTWARE SUPPORT ENGINEER,IT/Software Development,MPhil PhD,50000,11,3
BENGALURU,SOFTWARE SUPPORT ENGINEER,IT/Software Development, Graduation  PG   Doctorate Doctorate ,50000,11,3
BENGALURU,MARKETING ASSISTANT,Marketing,BTech BE  ME MTech,24000,12,1
BENGALURU,INTERNATIONAL SALES TRAVEL CONSULTANT,Customer Service/Support,12TH  10TH,50000,9,1
BENGALURU,INDOOR SALES (CONTACT CENTER ADVISOR),Sales/Retail/Business Development,BTech BE  ME MTech,60000,9,2
BENGALURU,STEEL STRUCTURE DESIGN ENGINEER,Engineering,BTech BE  ME MTech,40000,9,1
HYDERABAD,IT NETWORK ENGINEER,IT/Software Development,BTech BE  ME MTech,15000,11,3
BENGALURU,SHOWROOM MANAGER ,Customer Service/Support,BSc,50000,1,1
BENGALURU,IT PROJECT MANAGER,IT/Software Development,MBBS  MSc,30000,9,1
HYDERABAD,MARKETING AND SALES EXECUTIVE,Sales/Retail/Business Development,10TH ,20000,5,5
BENGALURU,ARCHITECTURAL PLANNING ENGINEER,Engineering,BA  BCom  BSc  BTech BE  PG Diploma,60000,3,1
BENGALURU,TECHNICAL WRITER,Editorial/Writing, BTech BE ,50000,9,1
BENGALURU,SENIOR INTERIOR DESIGNER,Creative/Design,BTech BE  ME MTech,60000,2,2
BENGALURU,CUSTOMER RELATION SUPERVISOR,Customer Service/Support,MPhil PhD,60000,6,2
BENGALURU,SENIOR PHP DEVELOPER,IT/Software Development, BTech BE ,70000,7,2
BENGALURU,SOCIAL MEDIA SPECIALIST,Marketing,BSc  GNM,20000,4,1
BENGALURU,CONTRACTS ADMINISTRATOR / ENGINEER ,Engineering,BTech BE  ME MTech,150000,12,1
BENGALURU,MARKETING EXECUTIVE,Marketing,BTech BE  ME MTech,25000,3,1
BENGALURU,CALL CENTER REPRESENTATIVE - MOBILY,Customer Service/Support,BTech BE  ME MTech,16000,9,100
BENGALURU,PROJECT MANAGER - SOLAR POWER PLANT,Engineering, BTech BE ,150000,3,1
BENGALURU,SALES ENGINEER - MECHANICAL ,Sales/Retail/Business Development,BSc ,60000,9,1
BENGALURU,QUALITY CONTROL MANAGER -  FOOD & BEVERAGES,Quality Assurance/Quality Control,BTech BE  ME MTech,70000,7,1
BENGALURU,ARABIC EDITOR,Editorial/Writing,BTech BE  ME MTech,35000,4,1
BENGALURU,MYSTERY SHOPPER,Research,10TH ,55000,12,5
BENGALURU,SOCIAL MEDIA SPECIALIST,Marketing,PG MBA PGDM ,20000,1,1
BENGALURU,MECHANICAL ENGINEER ,Engineering,BTech BE  ME MTech,45000,5,4
BENGALURU,CALL CENTER AGENT ,Sales/Retail/Business Development,BTech BE  ME MTech,25000,9,4
HURGHADA,SOCIAL MEDIA SPECIALIST,Marketing,MSc,25000,10,1
BENGALURU,KIDS ANIMATOR,Sports and Leisure,BTech BE  MSc,13000,3,5
BENGALURU,"PR,AUDITOR,ELECTRICAL& TELECOMMUNICATIONS ENGINEERS",Engineering,10TH ,0,1,2
BENGALURU,LEAN SIX SIGMA CONSULTANT,Management,12TH 10TH ,50000,8,1
BENGALURU,SENIOR DIGITAL MARKETING EXECUTIVE,Marketing,10TH 8TH ,60000,8,1
BENGALURU,SECRETARY & PUBLIC RELATIONS ADMIN,Administration,BTech BE  ME MTech,20000,1,1
HYDERABAD,SALES ACCOUNT EXECUTIVE - ADVERTISING,Sales/Retail/Business Development,MA  MSc,15000,5,1
HYDERABAD,SOCIAL MEDIA SPECIALIST,Marketing,12TH ,17000,12,1
BENGALURU,MARKETING SPECIALIST,Marketing,BTech BE  ME MTech,40000,11,1
MUMBAI,ONLINE MARKETING SPECIALIST- ALEXANDRIA ,Marketing, BBA   BMS ,50000,11,1
HYDERABAD,.NET DEVELOPER,IT/Software Development,BTech BE  ME MTech,50000,7,2
BENGALURU,SOFTWARE DEVELOPER - JAVA,IT/Software Development,BTech BE  ME MTech,40000,2,2
BENGALURU,PROJECT ENGINEER ,Engineering,10TH ,35000,3,1
HYDERABAD,SENIOR .NET DEVELOPER,IT/Software Development,BTech BE  ME MTech,60000,10,3
BENGALURU,SENIOR PHP DEVELOPER,IT/Software Development,LLM,70000,3,8
BENGALURU,RESEARCH ANALYST,Business ,BTech BE  ME MTech,70000,1,1
BENGALURU,PROLOG DEVELOPER,IT/Software Development,12TH,70000,9,4
BENGALURU,ANDROID DEVELOPER - FREELANCE BY PROJECT/PAGE,IT/Software Development,BTech BE  ME MTech,200000,6,1
BENGALURU,TRANSLATOR,Editorial/Writing,MCom  MSc  ME MTech  MBA PGDM  MS MD  MPA,50000,12,2
BENGALURU,BUSINESS DEVELOPMENT COORDINATOR,Marketing,MBBS  PG Diploma  MS MD,45000,4,4
BENGALURU,IOS DEVELOPER- FREELANCE BY PROJECT/PAGE,IT/Software Development, BTech BE PG MTech,200000,9,1
BENGALURU,MARKETING EXECUTIVE,Marketing,BTech BE  ME MTech,120000,4,2
BENGALURU,SOCIAL MEDIA SPECIALIST,Customer Service/Support,BTech BE  MBA PGDM  MCA,20000,3,2
BENGALURU,MAINTENANCE DIRECTOR,Installation/Maintenance/Repair,BTech BE  ME MTech,30000,0,1
BENGALURU,GRAPHIC DESIGNER ,Creative/Design, BTech BE ,20000,4,1
BENGALURU,SENIOR SOFTWARE DEVELOPER,IT/Software Development,BA BEd BSc MA MPEd ,90000,3,5
BENGALURU,ELECTRICAL & TELECOMMUNICATIONS ENGINEER,Engineering,BTech BE  ME MTech,22000,11,1
BENGALURU,MARKETING MANAGER ,Marketing,BTech BE  ME MTech,220000,6,1
HYDERABAD,CALL CENTER TRAINER - SPANISH,Customer Service/Support,BTech BE MSc ME MTech MCA ,60000,10,1
BENGALURU,ORACLE DATABASE ADMINISTRATOR,Installation/Maintenance/Repair,ME MTech  MS,50000,0,8
BENGALURU,IT HELP DESK,IT/Software Development, BTech BE ,20000,1,1
HYDERABAD,CUSTOMER SERVICE ADVISOR - GERMAN,Customer Service/Support,BTech BE  ME MTech,42000,6,8
HYDERABAD,SENIOR SEO SPECIALIST,Marketing, BTech BE PG  ,40000,1,1
BENGALURU,GRAPHIC DESIGNER -FEMALE ,Creative/Design,BTech BE MSc ,35000,3,2
BENGALURU,ARCHITECTURAL SITE ENGINEER,Engineering,BTech BE  ME MTech,35000,1,1
BENGALURU,ENGLISH TRANSLATOR,Editorial/Writing,Diploma 10TH ,100000,3,1
BENGALURU,TRANSMISSION & ROLL OUT ENGINEER,Engineering, BTech BE ,40000,1,1
BENGALURU,SENIOR .NET DEVELOPER,IT/Software Development,BTech BE  ME MTech,50000,1,2
BENGALURU,SENIOR UI/UX DEVELOPER,IT/Software Development,BTech BE  ME MTech,70000,12,1
BENGALURU,NETWORK ENGINEER (CISCO ENGINEER),Engineering,BPharma MPharma ,70000,8,1
BENGALURU,CALL CENTER REPRESENTATIVE,Customer Service/Support,10TH,15000,8,8
HYDERABAD,UI DEVELOPER,IT/Software Development, BSc ,50000,10,1
HYDERABAD,FIRST LEVEL SUPPORT ENGINEER,IT/Software Development,PG Other Doctorate Doctorate ,30000,4,3
BENGALURU,SOCIAL MEDIA SPECIALIST,Marketing,Diploma,30000,10,8
BENGALURU,LOGISTICS MANAGER,Manufacturing/Production/Operations, BTech BE ,40000,3,1
BENGALURU,OPERATION MANAGER,Food Services/Hospitality,BTech BE  ME MTech,40000,11,1
BENGALURU,TECHNICAL SALES ENGINEER - AGRICULTURAL,Biotech/R&D/Science,MBBS,15000,6,1
HYDERABAD,RESEARCHER (LEAD GENERATION SPECIALIST),Sales/Retail/Business Development,12TH  10TH,60000,3,1
BENGALURU,MECHANICAL / PRODUCTION ENGINEER,Engineering, BTech BE PG MTech,27000,5,1
BENGALURU,SHOP DRAWING ARCHITECT ,Engineering,BTech BE  ME MTech,50000,11,1
